x,y
1.177000000000000000e+03,1.036000000000000000e+03
1.310000000000000000e+03,1.035000000000000000e+03
1.137000000000000000e+03,1.035000000000000000e+03
2.260000000000000000e+02,1.034000000000000000e+03
8.590000000000000000e+02,1.033000000000000000e+03
1.324000000000000000e+03,1.030000000000000000e+03
6.030000000000000000e+02,1.030000000000000000e+03
1.191000000000000000e+03,1.028000000000000000e+03
1.140000000000000000e+03,1.028000000000000000e+03
1.050000000000000000e+03,1.025000000000000000e+03
1.088000000000000000e+03,1.024000000000000000e+03
9.700000000000000000e+01,1.020000000000000000e+03
1.081000000000000000e+03,1.017000000000000000e+03
9.680000000000000000e+02,1.017000000000000000e+03
6.580000000000000000e+02,1.013000000000000000e+03
1.302000000000000000e+03,1.009000000000000000e+03
5.800000000000000000e+02,1.008000000000000000e+03
5.650000000000000000e+02,1.007000000000000000e+03
6.300000000000000000e+02,1.005000000000000000e+03
1.278000000000000000e+03,1.003000000000000000e+03
1.382000000000000000e+03,9.970000000000000000e+02
1.219000000000000000e+03,9.970000000000000000e+02
1.331000000000000000e+03,9.910000000000000000e+02
1.057000000000000000e+03,9.890000000000000000e+02
1.065000000000000000e+03,9.860000000000000000e+02
1.146000000000000000e+03,9.830000000000000000e+02
1.098000000000000000e+03,9.830000000000000000e+02
1.208000000000000000e+03,9.800000000000000000e+02
8.040000000000000000e+02,9.790000000000000000e+02
6.180000000000000000e+02,9.790000000000000000e+02
1.350000000000000000e+03,9.780000000000000000e+02
1.251000000000000000e+03,9.780000000000000000e+02
6.270000000000000000e+02,9.770000000000000000e+02
1.057000000000000000e+03,9.700000000000000000e+02
1.002000000000000000e+03,9.690000000000000000e+02
7.690000000000000000e+02,9.670000000000000000e+02
2.460000000000000000e+02,9.660000000000000000e+02
6.840000000000000000e+02,9.640000000000000000e+02
7.750000000000000000e+02,9.610000000000000000e+02
8.960000000000000000e+02,9.600000000000000000e+02
8.510000000000000000e+02,9.600000000000000000e+02
7.450000000000000000e+02,9.600000000000000000e+02
1.183000000000000000e+03,9.590000000000000000e+02
9.200000000000000000e+02,9.580000000000000000e+02
3.350000000000000000e+02,9.580000000000000000e+02
3.150000000000000000e+02,9.540000000000000000e+02
8.600000000000000000e+02,9.530000000000000000e+02
8.440000000000000000e+02,9.510000000000000000e+02
6.990000000000000000e+02,9.490000000000000000e+02
3.160000000000000000e+02,9.490000000000000000e+02
6.260000000000000000e+02,9.470000000000000000e+02
8.120000000000000000e+02,9.460000000000000000e+02
1.388000000000000000e+03,9.430000000000000000e+02
1.160000000000000000e+03,9.410000000000000000e+02
1.388000000000000000e+03,9.400000000000000000e+02
1.169000000000000000e+03,9.330000000000000000e+02
8.480000000000000000e+02,9.330000000000000000e+02
6.580000000000000000e+02,9.330000000000000000e+02
2.510000000000000000e+02,9.330000000000000000e+02
2.000000000000000000e+02,9.280000000000000000e+02
1.224000000000000000e+03,9.250000000000000000e+02
9.550000000000000000e+02,9.220000000000000000e+02
5.310000000000000000e+02,9.210000000000000000e+02
1.219000000000000000e+03,9.180000000000000000e+02
1.067000000000000000e+03,9.170000000000000000e+02
6.200000000000000000e+02,9.170000000000000000e+02
1.139000000000000000e+03,9.120000000000000000e+02
7.920000000000000000e+02,9.080000000000000000e+02
1.134000000000000000e+03,9.060000000000000000e+02
1.339000000000000000e+03,8.990000000000000000e+02
6.330000000000000000e+02,8.990000000000000000e+02
1.389000000000000000e+03,8.980000000000000000e+02
5.690000000000000000e+02,8.960000000000000000e+02
1.349000000000000000e+03,8.930000000000000000e+02
2.670000000000000000e+02,8.920000000000000000e+02
7.830000000000000000e+02,8.910000000000000000e+02
5.140000000000000000e+02,8.900000000000000000e+02
1.152000000000000000e+03,8.850000000000000000e+02
1.161000000000000000e+03,8.830000000000000000e+02
7.250000000000000000e+02,8.830000000000000000e+02
5.450000000000000000e+02,8.830000000000000000e+02
1.310000000000000000e+02,8.730000000000000000e+02
6.340000000000000000e+02,8.720000000000000000e+02
9.220000000000000000e+02,8.650000000000000000e+02
5.070000000000000000e+02,8.650000000000000000e+02
6.410000000000000000e+02,8.640000000000000000e+02
7.680000000000000000e+02,8.620000000000000000e+02
1.085000000000000000e+03,8.610000000000000000e+02
7.560000000000000000e+02,8.570000000000000000e+02
6.730000000000000000e+02,8.520000000000000000e+02
6.830000000000000000e+02,8.510000000000000000e+02
4.500000000000000000e+02,8.500000000000000000e+02
1.153000000000000000e+03,8.480000000000000000e+02
1.311000000000000000e+03,8.460000000000000000e+02
1.216000000000000000e+03,8.460000000000000000e+02
3.590000000000000000e+02,8.460000000000000000e+02
1.368000000000000000e+03,8.450000000000000000e+02
1.169000000000000000e+03,8.450000000000000000e+02
1.303000000000000000e+03,8.430000000000000000e+02
8.180000000000000000e+02,8.410000000000000000e+02
1.210000000000000000e+03,8.400000000000000000e+02
7.130000000000000000e+02,8.350000000000000000e+02
1.250000000000000000e+03,8.330000000000000000e+02
1.300000000000000000e+03,8.300000000000000000e+02
7.220000000000000000e+02,8.300000000000000000e+02
1.169000000000000000e+03,8.260000000000000000e+02
1.011000000000000000e+03,8.240000000000000000e+02
1.233000000000000000e+03,8.210000000000000000e+02
5.280000000000000000e+02,8.190000000000000000e+02
6.640000000000000000e+02,8.150000000000000000e+02
9.030000000000000000e+02,8.120000000000000000e+02
1.295000000000000000e+03,8.110000000000000000e+02
2.380000000000000000e+02,8.090000000000000000e+02
1.243000000000000000e+03,8.070000000000000000e+02
5.570000000000000000e+02,8.070000000000000000e+02
7.230000000000000000e+02,8.050000000000000000e+02
9.190000000000000000e+02,8.040000000000000000e+02
6.900000000000000000e+02,8.040000000000000000e+02
1.381000000000000000e+03,8.000000000000000000e+02
1.256000000000000000e+03,8.000000000000000000e+02
1.083000000000000000e+03,7.980000000000000000e+02
6.960000000000000000e+02,7.970000000000000000e+02
6.150000000000000000e+02,7.970000000000000000e+02
6.740000000000000000e+02,7.920000000000000000e+02
3.940000000000000000e+02,7.910000000000000000e+02
6.610000000000000000e+02,7.870000000000000000e+02
1.047000000000000000e+03,7.860000000000000000e+02
5.220000000000000000e+02,7.860000000000000000e+02
3.710000000000000000e+02,7.860000000000000000e+02
1.171000000000000000e+03,7.820000000000000000e+02
7.490000000000000000e+02,7.820000000000000000e+02
2.850000000000000000e+02,7.740000000000000000e+02
8.510000000000000000e+02,7.730000000000000000e+02
1.344000000000000000e+03,7.720000000000000000e+02
4.850000000000000000e+02,7.670000000000000000e+02
8.000000000000000000e+02,7.660000000000000000e+02
6.690000000000000000e+02,7.660000000000000000e+02
1.181000000000000000e+03,7.650000000000000000e+02
5.970000000000000000e+02,7.630000000000000000e+02
7.150000000000000000e+02,7.600000000000000000e+02
1.389000000000000000e+03,7.550000000000000000e+02
7.590000000000000000e+02,7.550000000000000000e+02
9.580000000000000000e+02,7.530000000000000000e+02
1.051000000000000000e+03,7.520000000000000000e+02
6.800000000000000000e+02,7.470000000000000000e+02
1.237000000000000000e+03,7.440000000000000000e+02
9.420000000000000000e+02,7.440000000000000000e+02
7.680000000000000000e+02,7.440000000000000000e+02
5.610000000000000000e+02,7.400000000000000000e+02
1.194000000000000000e+03,7.370000000000000000e+02
1.137000000000000000e+03,7.370000000000000000e+02
1.124000000000000000e+03,7.330000000000000000e+02
1.346000000000000000e+03,7.320000000000000000e+02
1.330000000000000000e+03,7.300000000000000000e+02
1.226000000000000000e+03,7.280000000000000000e+02
1.201000000000000000e+03,7.280000000000000000e+02
1.163000000000000000e+03,7.260000000000000000e+02
1.051000000000000000e+03,7.220000000000000000e+02
5.080000000000000000e+02,7.190000000000000000e+02
1.081000000000000000e+03,7.180000000000000000e+02
9.970000000000000000e+02,7.150000000000000000e+02
1.007000000000000000e+03,7.140000000000000000e+02
5.050000000000000000e+02,7.130000000000000000e+02
8.940000000000000000e+02,7.100000000000000000e+02
8.140000000000000000e+02,7.090000000000000000e+02
1.332000000000000000e+03,7.070000000000000000e+02
6.190000000000000000e+02,7.050000000000000000e+02
1.167000000000000000e+03,7.040000000000000000e+02
1.029000000000000000e+03,7.040000000000000000e+02
1.151000000000000000e+03,7.030000000000000000e+02
6.120000000000000000e+02,7.030000000000000000e+02
1.185000000000000000e+03,7.000000000000000000e+02
1.364000000000000000e+03,6.980000000000000000e+02
5.980000000000000000e+02,6.960000000000000000e+02
1.265000000000000000e+03,6.940000000000000000e+02
1.150000000000000000e+03,6.940000000000000000e+02
1.255000000000000000e+03,6.890000000000000000e+02
1.342000000000000000e+03,6.840000000000000000e+02
1.137000000000000000e+03,6.820000000000000000e+02
1.368000000000000000e+03,6.810000000000000000e+02
1.251000000000000000e+03,6.800000000000000000e+02
8.180000000000000000e+02,6.800000000000000000e+02
5.930000000000000000e+02,6.790000000000000000e+02
1.109000000000000000e+03,6.760000000000000000e+02
1.285000000000000000e+03,6.740000000000000000e+02
3.690000000000000000e+02,6.740000000000000000e+02
1.126000000000000000e+03,6.730000000000000000e+02
7.950000000000000000e+02,6.720000000000000000e+02
1.193000000000000000e+03,6.700000000000000000e+02
1.044000000000000000e+03,6.670000000000000000e+02
9.090000000000000000e+02,6.670000000000000000e+02
8.630000000000000000e+02,6.640000000000000000e+02
1.357000000000000000e+03,6.610000000000000000e+02
1.259000000000000000e+03,6.590000000000000000e+02
1.046000000000000000e+03,6.580000000000000000e+02
1.303000000000000000e+03,6.560000000000000000e+02
9.630000000000000000e+02,6.560000000000000000e+02
1.380000000000000000e+03,6.550000000000000000e+02
7.860000000000000000e+02,6.550000000000000000e+02
1.342000000000000000e+03,6.530000000000000000e+02
1.144000000000000000e+03,6.500000000000000000e+02
6.310000000000000000e+02,6.480000000000000000e+02
1.136000000000000000e+03,6.460000000000000000e+02
7.710000000000000000e+02,6.460000000000000000e+02
7.020000000000000000e+02,6.460000000000000000e+02
7.460000000000000000e+02,6.430000000000000000e+02
6.610000000000000000e+02,6.420000000000000000e+02
1.100000000000000000e+03,6.330000000000000000e+02
7.570000000000000000e+02,6.290000000000000000e+02
7.400000000000000000e+02,6.270000000000000000e+02
6.800000000000000000e+02,6.270000000000000000e+02
1.143000000000000000e+03,6.240000000000000000e+02
