x,y
197,240
289,226
92,260
39,152
114,145
157,202
207,201
207,167
77,141
35,96
9,212
233,224
66,255
246,272
209,187
290,87
55,199
34,228
45,287
164,225
151,225
113,135
135,183
250,263
113,182
74,157
159,177
266,270
139,93
116,208
107,265
179,197
208,246
193,271
42,237
27,213
147,243
239,253
139,159
9,69
232,153
251,164
248,116
160,54
288,122
260,105
272,74
290,62
297,76
258,119
277,171
224,164
178,182
147,223
289,266
282,212
13,293
14,145
85,122
75,228
182,150
243,134
96,204
206,255
162,269
289,167
86,222
114,156
69,65
129,286
214,268
182,131
261,62
153,113
194,89
199,295
48,280
115,122
70,117
102,220
207,207
90,107
130,144
200,182
268,164
258,82
248,88
225,244
106,137
244,207
281,288
206,223
290,109
102,131
141,114
112,253
231,255
99,283
182,176
127,98
246,139
278,50
