x,y
197,240
289,226
92,260
39,152
157,202
207,201
207,167
35,96
9,212
233,224
66,255
246,272
209,187
290,87
55,199
34,228
164,225
135,183
250,263
139,93
116,208
107,265
179,197
193,271
42,237
27,213
147,243
139,159
9,69
232,153
251,164
288,122
260,105
272,74
290,62
258,119
277,171
147,223
289,266
14,145
85,122
75,228
182,150
96,204
206,255
162,269
289,167
86,222
114,156
69,65
129,286
182,131
261,62
153,113
48,280
115,122
70,117
102,220
207,207
130,144
200,182
268,164
258,82
248,88
106,137
244,207
281,288
206,223
290,109
102,131
141,114
112,253
231,255
99,283
182,176
127,98
246,139
278,50
